"id";"title";"stars";"conments_Num"
1;"学习bash : Learning the bash Shell, Second Edition";"7.6";"(130人评价)"
2;"Linux命令行与shell脚本编程大全 第3版";"9.1";"(122人评价)"
3;"Linux命令行与shell脚本编程大全";"8.4";"(251人评价)"
4;"Shell脚本学习指南";"7.3";"(443人评价)"
5;"Linux Shell脚本攻略";"8.1";"(338人评价)"
6;"Linux Shell脚本攻略（第2版）";"8.2";"(86人评价)"
7;"Learning the bash Shell : 3rd Edition";"7.9";"(96人评价)"
8;"Shell脚本专家指南";"7.9";"(41人评价)"
9;"Linux命令、编辑器与shell编程(第2版)";"8.8";"(32人评价)"
10;"Linux Command Line and Shell Scripting Bible : Command Line and Shell Scripting Bible";"7.7";"(23人评价)"
11;"A Practical Guide to Linux Commands, Editors, and Shell Programming : Practical Guide to Linux Commands, Editors, and Shell Programmin";"(评价人数不足)";"(173人评价)"
12;"Linux命令、编辑器与Shell编程";"8.1";"(111人评价)"
13;"LINUX与UNIX Shell编程指南";"7.9";"(80人评价)"
14;"学习bash : Learning the bash Shell, Second Edition";"7.6";"(130人评价)"
15;"Linux命令行与shell脚本编程大全 第3版";"9.1";"(122人评价)"
16;"Linux命令行与shell脚本编程大全";"8.4";"(251人评价)"
17;"Shell脚本学习指南";"7.3";"(443人评价)"
18;"Linux Shell脚本攻略";"8.1";"(338人评价)"
19;"Linux Shell脚本攻略（第2版）";"8.2";"(86人评价)"
20;"Learning the bash Shell : 3rd Edition";"7.9";"(96人评价)"
21;"Shell脚本专家指南";"7.9";"(41人评价)"
22;"Linux命令、编辑器与shell编程(第2版)";"8.8";"(32人评价)"
23;"Linux Command Line and Shell Scripting Bible : Command Line and Shell Scripting Bible";"7.7";"(23人评价)"
24;"A Practical Guide to Linux Commands, Editors, and Shell Programming : Practical Guide to Linux Commands, Editors, and Shell Programmin";"(评价人数不足)";"(173人评价)"
25;"Linux命令、编辑器与Shell编程";"8.1";"(111人评价)"
26;"LINUX与UNIX Shell编程指南";"7.9";"(80人评价)"
27;"Ghost in the Shell 2 : Innocence, Volume 1 : After the Long Goodbye (Ghost in the Shell";"(评价人数不足)";"(30人评价)"
28;"Mastering Unix Shell Scripting : Bash, Bourne, and Korn Shell Scripting for Programmers, System A";"(评价人数不足)";"(10人评价)"
29;"GHOST IN THE SHELL / 攻殻機動隊 原画集 -Archives-";"9.5";"(54人评价)"
30;"Shell Programming in Unix, Linux and OS X : The Fourth Edition of Unix Shell Programming";"8.2";"(53人评价)"
31;"实战Linux Shell编程与服务器管理";"8.5";"(26人评价)"
32;"学习bash : Learning the bash Shell, Second Edition";"7.6";"(130人评价)"
33;"Linux命令行与shell脚本编程大全 第3版";"9.1";"(122人评价)"
34;"Linux命令行与shell脚本编程大全";"8.4";"(251人评价)"
35;"Shell脚本学习指南";"7.3";"(443人评价)"
36;"Linux Shell脚本攻略";"8.1";"(338人评价)"
37;"Linux Shell脚本攻略（第2版）";"8.2";"(86人评价)"
38;"Learning the bash Shell : 3rd Edition";"7.9";"(96人评价)"
39;"Shell脚本专家指南";"7.9";"(41人评价)"
40;"Linux命令、编辑器与shell编程(第2版)";"8.8";"(32人评价)"
41;"Linux Command Line and Shell Scripting Bible : Command Line and Shell Scripting Bible";"7.7";"(23人评价)"
42;"A Practical Guide to Linux Commands, Editors, and Shell Programming : Practical Guide to Linux Commands, Editors, and Shell Programmin";"(评价人数不足)";"(173人评价)"
43;"Linux命令、编辑器与Shell编程";"8.1";"(111人评价)"
44;"LINUX与UNIX Shell编程指南";"7.9";"(80人评价)"
45;"Ghost in the Shell 2 : Innocence, Volume 1 : After the Long Goodbye (Ghost in the Shell";"(评价人数不足)";"(30人评价)"
46;"Mastering Unix Shell Scripting : Bash, Bourne, and Korn Shell Scripting for Programmers, System A";"(评价人数不足)";"(10人评价)"
47;"GHOST IN THE SHELL / 攻殻機動隊 原画集 -Archives-";"9.5";"(54人评价)"
48;"Shell Programming in Unix, Linux and OS X : The Fourth Edition of Unix Shell Programming";"8.2";"(53人评价)"
49;"实战Linux Shell编程与服务器管理";"8.5";"(26人评价)"
50;"Shell";"(目前无人评价)";"(55人评价)"
51;"Shell";"(目前无人评价)";"(38人评价)"
52;"Unix Shell编程";"7.6";"(23人评价)"
53;"Classic Shell Scripting : Hidden Commands that Unlock the Power of Unix";"7.8";"(269人评价)"
54;"Pro Bash Programming, Second Edition : Scripting the GNU/Linux Shell";"(评价人数不足)";"(67人评价)"
55;"Linux Shell编程从初学到精通";"7.7";"(13人评价)"
56;"sed与awk";"8.0";"(29人评价)"
57;"Linux系统命令及Shell脚本实践指南";"7.5";"(28人评价)"
58;"From Bash to Z Shell : Conquering the Command Line";"(评价人数不足)";"(24人评价)"
59;"精通UNIX Shell脚本编程";"7.1";"(18人评价)"
60;"Linux Shell Scripting Cookbook";"7.6";"(26人评价)"
61;"学习bash : Learning the bash Shell, Second Edition";"7.6";"(130人评价)"
62;"Linux命令行与shell脚本编程大全 第3版";"9.1";"(122人评价)"
63;"Linux命令行与shell脚本编程大全";"8.4";"(251人评价)"
64;"Shell脚本学习指南";"7.3";"(443人评价)"
65;"Linux Shell脚本攻略";"8.1";"(338人评价)"
66;"Linux Shell脚本攻略（第2版）";"8.2";"(86人评价)"
67;"Learning the bash Shell : 3rd Edition";"7.9";"(96人评价)"
68;"Shell脚本专家指南";"7.9";"(41人评价)"
69;"Linux命令、编辑器与shell编程(第2版)";"8.8";"(32人评价)"
70;"Linux Command Line and Shell Scripting Bible : Command Line and Shell Scripting Bible";"7.7";"(23人评价)"
71;"A Practical Guide to Linux Commands, Editors, and Shell Programming : Practical Guide to Linux Commands, Editors, and Shell Programmin";"(评价人数不足)";"(173人评价)"
72;"Linux命令、编辑器与Shell编程";"8.1";"(111人评价)"
73;"LINUX与UNIX Shell编程指南";"7.9";"(80人评价)"
74;"Ghost in the Shell 2 : Innocence, Volume 1 : After the Long Goodbye (Ghost in the Shell";"(评价人数不足)";"(30人评价)"
75;"Mastering Unix Shell Scripting : Bash, Bourne, and Korn Shell Scripting for Programmers, System A";"(评价人数不足)";"(10人评价)"
76;"GHOST IN THE SHELL / 攻殻機動隊 原画集 -Archives-";"9.5";"(54人评价)"
77;"Shell Programming in Unix, Linux and OS X : The Fourth Edition of Unix Shell Programming";"8.2";"(53人评价)"
78;"实战Linux Shell编程与服务器管理";"8.5";"(26人评价)"
79;"Shell";"(目前无人评价)";"(55人评价)"
80;"Shell";"(目前无人评价)";"(38人评价)"
81;"Unix Shell编程";"7.6";"(23人评价)"
82;"Classic Shell Scripting : Hidden Commands that Unlock the Power of Unix";"7.8";"(269人评价)"
83;"Pro Bash Programming, Second Edition : Scripting the GNU/Linux Shell";"(评价人数不足)";"(67人评价)"
84;"Linux Shell编程从初学到精通";"7.7";"(13人评价)"
85;"sed与awk";"8.0";"(29人评价)"
86;"Linux系统命令及Shell脚本实践指南";"7.5";"(28人评价)"
87;"From Bash to Z Shell : Conquering the Command Line";"(评价人数不足)";"(24人评价)"
88;"精通UNIX Shell脚本编程";"7.1";"(18人评价)"
89;"Linux Shell Scripting Cookbook";"7.6";"(26人评价)"
90;"UNIX Shells by Example";"7.8";"(20人评价)"
91;"Learning the bash Shell, 2nd Edition";"(评价人数不足)";"(10人评价)"
92;"Linux命令、编辑器与Shell编程(第3版)";"(评价人数不足)";"(11人评价)"
93;"Wicked Cool Shell Scripts : 101 Scripts for Linux, Mac OS X & UNIX Systems";"(评价人数不足)";"(307人评价)"
94;"Linux Command Line and Shell Scripting Bible, Second Edition";"(评价人数不足)";"(16人评价)"
95;"Shell脚本编程诀窍 : 适用于Linux、Bash等";"(评价人数不足)";"(13人评价)"
96;"学习bash : Learning the bash Shell, Second Edition";"7.6";"(130人评价)"
97;"Linux命令行与shell脚本编程大全 第3版";"9.1";"(122人评价)"
98;"Linux命令行与shell脚本编程大全";"8.4";"(251人评价)"
99;"Shell脚本学习指南";"7.3";"(443人评价)"
100;"Linux Shell脚本攻略";"8.1";"(338人评价)"
101;"Linux Shell脚本攻略（第2版）";"8.2";"(86人评价)"
102;"Learning the bash Shell : 3rd Edition";"7.9";"(96人评价)"
103;"Shell脚本专家指南";"7.9";"(41人评价)"
104;"Linux命令、编辑器与shell编程(第2版)";"8.8";"(32人评价)"
105;"Linux Command Line and Shell Scripting Bible : Command Line and Shell Scripting Bible";"7.7";"(23人评价)"
106;"A Practical Guide to Linux Commands, Editors, and Shell Programming : Practical Guide to Linux Commands, Editors, and Shell Programmin";"(评价人数不足)";"(173人评价)"
107;"Linux命令、编辑器与Shell编程";"8.1";"(111人评价)"
108;"LINUX与UNIX Shell编程指南";"7.9";"(80人评价)"
109;"Ghost in the Shell 2 : Innocence, Volume 1 : After the Long Goodbye (Ghost in the Shell";"(评价人数不足)";"(30人评价)"
110;"Mastering Unix Shell Scripting : Bash, Bourne, and Korn Shell Scripting for Programmers, System A";"(评价人数不足)";"(10人评价)"
111;"GHOST IN THE SHELL / 攻殻機動隊 原画集 -Archives-";"9.5";"(54人评价)"
112;"Shell Programming in Unix, Linux and OS X : The Fourth Edition of Unix Shell Programming";"8.2";"(53人评价)"
113;"实战Linux Shell编程与服务器管理";"8.5";"(26人评价)"
114;"Shell";"(目前无人评价)";"(55人评价)"
115;"Shell";"(目前无人评价)";"(38人评价)"
116;"Unix Shell编程";"7.6";"(23人评价)"
117;"Classic Shell Scripting : Hidden Commands that Unlock the Power of Unix";"7.8";"(269人评价)"
118;"Pro Bash Programming, Second Edition : Scripting the GNU/Linux Shell";"(评价人数不足)";"(67人评价)"
119;"Linux Shell编程从初学到精通";"7.7";"(13人评价)"
120;"sed与awk";"8.0";"(29人评价)"
121;"Linux系统命令及Shell脚本实践指南";"7.5";"(28人评价)"
122;"From Bash to Z Shell : Conquering the Command Line";"(评价人数不足)";"(24人评价)"
123;"精通UNIX Shell脚本编程";"7.1";"(18人评价)"
124;"Linux Shell Scripting Cookbook";"7.6";"(26人评价)"
125;"UNIX Shells by Example";"7.8";"(20人评价)"
126;"Learning the bash Shell, 2nd Edition";"(评价人数不足)";"(10人评价)"
127;"Linux命令、编辑器与Shell编程(第3版)";"(评价人数不足)";"(11人评价)"
128;"Wicked Cool Shell Scripts : 101 Scripts for Linux, Mac OS X & UNIX Systems";"(评价人数不足)";"(307人评价)"
129;"Linux Command Line and Shell Scripting Bible, Second Edition";"(评价人数不足)";"(16人评价)"
130;"Shell脚本编程诀窍 : 适用于Linux、Bash等";"(评价人数不足)";"(13人评价)"
131;"Windows PowerShell Cookbook : The Complete Guide to Scripting Microsoft's New Command Shell";"(评价人数不足)";"(13人评价)"
132;"Windows PowerShell Cookbook : The Complete Guide to Scripting Microsoft's Command Shell";"(评价人数不足)";"(11人评价)"
133;"UNIX和shell程序设计权威教程";"(评价人数不足)";"(233人评价)"
134;"Shell Scripting : Expert Recipes for Linux, Bash and more";"(评价人数不足)";"(136人评价)"
135;"学习bash : Learning the bash Shell, Second Edition";"7.6";"(130人评价)"
136;"Linux命令行与shell脚本编程大全 第3版";"9.1";"(122人评价)"
137;"Linux命令行与shell脚本编程大全";"8.4";"(251人评价)"
138;"Shell脚本学习指南";"7.3";"(443人评价)"
139;"Linux Shell脚本攻略";"8.1";"(338人评价)"
140;"Linux Shell脚本攻略（第2版）";"8.2";"(86人评价)"
141;"Learning the bash Shell : 3rd Edition";"7.9";"(96人评价)"
142;"Shell脚本专家指南";"7.9";"(41人评价)"
143;"Linux命令、编辑器与shell编程(第2版)";"8.8";"(32人评价)"
144;"Linux Command Line and Shell Scripting Bible : Command Line and Shell Scripting Bible";"7.7";"(23人评价)"
145;"A Practical Guide to Linux Commands, Editors, and Shell Programming : Practical Guide to Linux Commands, Editors, and Shell Programmin";"(评价人数不足)";"(173人评价)"
146;"Linux命令、编辑器与Shell编程";"8.1";"(111人评价)"
147;"LINUX与UNIX Shell编程指南";"7.9";"(80人评价)"
148;"On command : Writing a Unix-like shell for MS-DOS";"(目前无人评价)";"(11人评价)"
149;"On command : Writing a Unix-like shell for MS-DOS";"(目前无人评价)";"(11人评价)"
150;"My Beautiful Broken Shell : Beautiful Broken Shell";"(目前无人评价)";"(19人评价)"
151;"Shell Scripting Recipes : A Problem-Solution Approach";"(评价人数不足)";"(37人评价)"
152;"Theory and Analysis of Elastic Plates and Shells";"(目前无人评价)";"(32人评价)"
153;"A Weary Road : Shell Shock in the Canadian Expeditionary Force, 1914-1918";"(目前无人评价)";"(24人评价)"
154;"Where Vultures Feast : Shell, Human Rights, and Oil";"(目前无人评价)";"(15人评价)"
155;"A Weary Road : Shell Shock in the Canadian Expeditionary Force, 1914-1918";"(目前无人评价)";"(24人评价)"
156;"Where Vultures Feast : Shell, Human Rights, and Oil";"(目前无人评价)";"(15人评价)"
157;"说服力";"6.5";"(19人评价)"
158;"The Shell Collector : stories";"(评价人数不足)";"(16人评价)"
159;"愛上便宜貨：追求折扣的代價 : 追求折扣的代價";"(评价人数不足)";"(10人评价)"
160;"邮票上的贝壳";"(评价人数不足)";"(11人评价)"
161;"The Art of Ghost in the Shell";"8.7";"(12人评价)"
